label,text
spam,"WINNER! Claim your free vacation now. Text WIN to 80085."
spam,"Urgent! Your account has been selected for a $500 reward. Reply YES now."
spam,"Congratulations, you have won a brand new phone. Call immediately to claim."
spam,"Limited offer! Buy 1 get 1 free on all items. Visit our promo site today."
spam,"You have been chosen for a cash prize. Click the link to verify."
spam,"Earn money fast from home with no experience required. Sign up today."
spam,"Act now! Lowest insurance rate guaranteed. Call for a free quote."
spam,"FREE entry into our weekly raffle. Send JOIN to participate."
spam,"Your loan has been approved instantly. Submit your details to receive funds."
spam,"Exclusive deal! Get cheap meds without prescription. Order now."
spam,"You are pre-approved for a premium credit card. Apply in minutes."
spam,"Final notice: unpaid balance detected. Pay today to avoid penalties."
spam,"Get rich quick with this secret investment strategy. Limited slots only."
spam,"Hot singles in your area waiting to chat. Open the app now."
spam,"Claim your shopping voucher before midnight. Don't miss out."
spam,"This is your last chance to receive a 90 percent discount."
spam,"Winner! You have been selected for a luxury hotel stay."
spam,"Free ringtone download available now. Tap the link to install."
spam,"Immediate action needed. Verify your banking details to prevent suspension."
spam,"Congratulations! You won tickets to the concert. Text CLAIM now."
spam,"Cash bonus available today only. Confirm your mobile number to receive."
spam,"Your package is on hold. Pay a small fee to release delivery."
spam,"Special promotion: double your income with this easy method."
spam,"Reminder: you have an unclaimed tax refund waiting for you."
spam,"Exclusive casino bonus inside. Deposit now and play."
spam,"Get instant approval for debt relief. Call our team now."
spam,"This message confirms you are selected for a free gift card."
spam,"Your profile was matched. Reply to meet exciting new people."
spam,"Amazing offer on crypto tips. Subscribe before price goes up."
spam,"Security alert: reset your password using this urgent link."
spam,"Security alert. Verify now to receive a shopping coupon. claim immediately."
spam,"Congratulations, you have won an exclusive bonus. claim immediately immediately."
spam,"Urgent: your account is eligible for an exclusive bonus. submit your details today."
spam,"Security alert. Verify now to receive a cash prize. reply YES."
spam,"Winner! Claim your a shopping coupon now by claim immediately."
spam,"Limited offer. Get a free smartphone if you call now before midnight."
spam,"Limited offer. Get a travel voucher if you reply YES before midnight."
spam,"Limited offer. Get a shopping coupon if you claim immediately before midnight."
spam,"Winner! Claim your a free gift card now by confirm your number."
spam,"Winner! Claim your a free smartphone now by claim immediately."
spam,"Winner! Claim your a cash prize now by submit your details."
spam,"Winner! Claim your a free gift card now by reply YES."
spam,"Exclusive deal: an exclusive bonus available now. submit your details."
spam,"Exclusive deal: a free gift card available now. claim immediately."
spam,"Limited offer. Get a cash prize if you call now before midnight."
spam,"Urgent: your account is eligible for an exclusive bonus. reply YES today."
spam,"Exclusive deal: a free smartphone available now. reply YES."
spam,"Urgent: your account is eligible for a cash prize. claim immediately today."
spam,"Limited offer. Get a free smartphone if you call now before midnight."
spam,"Security alert. Verify now to receive a cash prize. call now."
spam,"Urgent: your account is eligible for a cash prize. submit your details today."
spam,"Urgent: your account is eligible for a travel voucher. click the link today."
spam,"Winner! Claim your an exclusive bonus now by call now."
spam,"Security alert. Verify now to receive a shopping coupon. confirm your number."
spam,"Winner! Claim your a cash prize now by click the link."
spam,"Exclusive deal: a free smartphone available now. submit your details."
spam,"Congratulations, you have won a travel voucher. submit your details immediately."
spam,"Congratulations, you have won a travel voucher. claim immediately immediately."
spam,"Urgent: your account is eligible for a travel voucher. reply YES today."
spam,"Winner! Claim your an exclusive bonus now by submit your details."
spam,"Limited offer. Get a shopping coupon if you confirm your number before midnight."
spam,"Congratulations, you have won a travel voucher. submit your details immediately."
spam,"Congratulations, you have won a free gift card. confirm your number immediately."
spam,"Winner! Claim your a free gift card now by reply YES."
spam,"Exclusive deal: a cash prize available now. click the link."
spam,"Security alert. Verify now to receive a shopping coupon. confirm your number."
spam,"Limited offer. Get a shopping coupon if you confirm your number before midnight."
spam,"Winner! Claim your an exclusive bonus now by call now."
spam,"Urgent: your account is eligible for a free gift card. submit your details today."
spam,"Urgent: your account is eligible for a travel voucher. call now today."
spam,"Congratulations, you have won an exclusive bonus. click the link immediately."
spam,"Security alert. Verify now to receive a cash prize. claim immediately."
spam,"Exclusive deal: a cash prize available now. reply YES."
spam,"Winner! Claim your an exclusive bonus now by claim immediately."
spam,"Exclusive deal: an exclusive bonus available now. confirm your number."
spam,"Winner! Claim your a free smartphone now by submit your details."
spam,"Urgent: your account is eligible for a cash prize. call now today."
spam,"Urgent: your account is eligible for a free smartphone. confirm your number today."
spam,"Urgent: your account is eligible for an exclusive bonus. reply YES today."
spam,"Exclusive deal: a free smartphone available now. confirm your number."
spam,"Urgent: your account is eligible for an exclusive bonus. reply YES today."
spam,"Exclusive deal: a travel voucher available now. submit your details."
spam,"Winner! Claim your a shopping coupon now by submit your details."
spam,"Limited offer. Get a cash prize if you reply YES before midnight."
spam,"Exclusive deal: a shopping coupon available now. reply YES."
spam,"Exclusive deal: a shopping coupon available now. confirm your number."
spam,"Exclusive deal: a travel voucher available now. confirm your number."
spam,"Winner! Claim your an exclusive bonus now by confirm your number."
spam,"Limited offer. Get a cash prize if you reply YES before midnight."
spam,"Congratulations, you have won a free smartphone. submit your details immediately."
spam,"Urgent: your account is eligible for a shopping coupon. confirm your number today."
spam,"Winner! Claim your a travel voucher now by confirm your number."
spam,"Limited offer. Get a travel voucher if you confirm your number before midnight."
spam,"Security alert. Verify now to receive a free smartphone. click the link."
spam,"Congratulations, you have won a free smartphone. claim immediately immediately."
spam,"Security alert. Verify now to receive a free gift card. submit your details."
spam,"Winner! Claim your a shopping coupon now by submit your details."
spam,"Urgent: your account is eligible for a shopping coupon. call now today."
spam,"Urgent: your account is eligible for a cash prize. claim immediately today."
spam,"Limited offer. Get a shopping coupon if you submit your details before midnight."
spam,"Security alert. Verify now to receive a shopping coupon. reply YES."
spam,"Security alert. Verify now to receive a shopping coupon. call now."
spam,"Security alert. Verify now to receive a shopping coupon. reply YES."
spam,"Congratulations, you have won a free gift card. submit your details immediately."
spam,"Security alert. Verify now to receive an exclusive bonus. confirm your number."
spam,"Security alert. Verify now to receive a free smartphone. click the link."
spam,"Winner! Claim your a free smartphone now by reply YES."
spam,"Congratulations, you have won a shopping coupon. reply YES immediately."
spam,"Congratulations, you have won an exclusive bonus. confirm your number immediately."
spam,"Security alert. Verify now to receive a cash prize. call now."
spam,"Exclusive deal: a free gift card available now. submit your details."
spam,"Urgent: your account is eligible for a travel voucher. reply YES today."
spam,"Winner! Claim your a free gift card now by click the link."
spam,"Winner! Claim your a free smartphone now by claim immediately."
spam,"Winner! Claim your a free gift card now by submit your details."
spam,"Limited offer. Get a free smartphone if you submit your details before midnight."
spam,"Winner! Claim your an exclusive bonus now by reply YES."
spam,"Urgent: your account is eligible for an exclusive bonus. click the link today."
spam,"Winner! Claim your a free smartphone now by reply YES."
spam,"Congratulations, you have won a travel voucher. claim immediately immediately."
spam,"Limited offer. Get a free gift card if you confirm your number before midnight."
spam,"Congratulations, you have won a free smartphone. claim immediately immediately."
spam,"Congratulations, you have won a free smartphone. call now immediately."
spam,"Congratulations, you have won a cash prize. claim immediately immediately."
spam,"Limited offer. Get a free smartphone if you call now before midnight."
spam,"Winner! Claim your a shopping coupon now by click the link."
spam,"Winner! Claim your a free gift card now by call now."
spam,"Winner! Claim your an exclusive bonus now by submit your details."
spam,"Exclusive deal: a shopping coupon available now. call now."
spam,"Limited offer. Get an exclusive bonus if you click the link before midnight."
spam,"Exclusive deal: a shopping coupon available now. reply YES."
spam,"Urgent: your account is eligible for an exclusive bonus. call now today."
spam,"Urgent: your account is eligible for an exclusive bonus. confirm your number today."
spam,"Limited offer. Get an exclusive bonus if you call now before midnight."
spam,"Congratulations, you have won an exclusive bonus. reply YES immediately."
spam,"Exclusive deal: an exclusive bonus available now. submit your details."
spam,"Exclusive deal: an exclusive bonus available now. submit your details."
spam,"Winner! Claim your a travel voucher now by claim immediately."
spam,"Urgent: your account is eligible for an exclusive bonus. submit your details today."
spam,"Limited offer. Get a free smartphone if you submit your details before midnight."
spam,"Limited offer. Get an exclusive bonus if you confirm your number before midnight."
spam,"Congratulations, you have won a free smartphone. call now immediately."
spam,"Exclusive deal: a shopping coupon available now. call now."
spam,"Limited offer. Get an exclusive bonus if you submit your details before midnight."
spam,"Congratulations, you have won an exclusive bonus. confirm your number immediately."
spam,"Urgent: your account is eligible for a free smartphone. call now today."
spam,"Winner! Claim your a shopping coupon now by submit your details."
spam,"Urgent: your account is eligible for a cash prize. reply YES today."
spam,"Exclusive deal: an exclusive bonus available now. claim immediately."
spam,"Congratulations, you have won a shopping coupon. click the link immediately."
spam,"Your parcel could not be delivered. Pay the small redelivery fee now."
spam,"Reset your password immediately to avoid account closure."
spam,"Claim your free movie pass today by tapping the offer."
spam,"Double your salary from home with our secret system."
ham,"Hi John, are we still meeting at 3 PM in the office?"
ham,"Please review the attached report before tomorrow's presentation."
ham,"Can you send me the updated project timeline when you are free?"
ham,"Lunch at 12? I found a new cafe near the station."
ham,"Reminder that your dentist appointment is scheduled for Friday morning."
ham,"The server deployment finished successfully and all tests passed."
ham,"I am running a bit late because of traffic. Be there soon."
ham,"Can you help me debug the login issue after standup?"
ham,"Thanks for your order. Your receipt is attached in this email."
ham,"Let's reschedule the call to next Tuesday afternoon."
ham,"Happy birthday! Hope you have a wonderful day with your family."
ham,"The meeting notes are uploaded to the shared drive."
ham,"Please approve the budget request by end of day."
ham,"Your food delivery has arrived at the gate."
ham,"I finished the document edits and left comments for you."
ham,"Can we have a quick chat about the client feedback?"
ham,"Just checking if you received my last message."
ham,"The training session starts at 9 AM. Please be on time."
ham,"Don't forget to bring your ID for building access."
ham,"Mom said dinner will be ready by 7 tonight."
ham,"Your internet service appointment is confirmed for tomorrow."
ham,"Good luck on your interview today. You will do great."
ham,"Please find the invoice attached for the completed work."
ham,"I booked the conference room for our design review."
ham,"The package was delivered safely to your front desk."
ham,"Can you pick up some milk on your way home?"
ham,"The photos from the team event look great."
ham,"Our weekly check-in has been moved to Thursday."
ham,"Thank you for your help with the release checklist."
ham,"I will share the final presentation after one more review."
ham,"Thanks for the update on the invoice. Let's join the call later."
ham,"Hi, can we approve the document about the training schedule tomorrow?"
ham,"The client feedback looks good. Please share your notes before end of day."
ham,"Reminder: the meeting agenda is scheduled for tomorrow. Please check the attachment."
ham,"Reminder: the team presentation is scheduled for tomorrow. Please confirm attendance."
ham,"Hi, can we confirm attendance about the meeting agenda tomorrow?"
ham,"Reminder: the deployment checklist is scheduled for tomorrow. Please check the attachment."
ham,"Reminder: the training schedule is scheduled for tomorrow. Please approve the document."
ham,"Can you help me with the client feedback and join the call after lunch?"
ham,"Can you help me with the invoice and share your notes after lunch?"
ham,"Thanks for the update on the project report. Let's check the attachment later."
ham,"Please review the project report and approve the document when you have time."
ham,"Reminder: the deployment checklist is scheduled for tomorrow. Please check the attachment."
ham,"Reminder: the invoice is scheduled for tomorrow. Please approve the document."
ham,"The training schedule looks good. Please check the attachment before end of day."
ham,"Thanks for the update on the invoice. Let's join the call later."
ham,"The team presentation looks good. Please send feedback before end of day."
ham,"The budget request looks good. Please confirm attendance before end of day."
ham,"Can you help me with the client feedback and join the call after lunch?"
ham,"Thanks for the update on the client feedback. Let's check the attachment later."
ham,"Thanks for the update on the deployment checklist. Let's send feedback later."
ham,"Hi, can we confirm attendance about the team presentation tomorrow?"
ham,"The meeting agenda looks good. Please approve the document before end of day."
ham,"The budget request looks good. Please check the attachment before end of day."
ham,"Thanks for the update on the deployment checklist. Let's join the call later."
ham,"The training schedule looks good. Please approve the document before end of day."
ham,"Thanks for the update on the deployment checklist. Let's confirm attendance later."
ham,"Please review the invoice and confirm attendance when you have time."
ham,"Hi, can we approve the document about the client feedback tomorrow?"
ham,"Reminder: the client feedback is scheduled for tomorrow. Please share your notes."
ham,"Hi, can we check the attachment about the project report tomorrow?"
ham,"Reminder: the client feedback is scheduled for tomorrow. Please confirm attendance."
ham,"Please review the client feedback and send feedback when you have time."
ham,"The team presentation looks good. Please confirm attendance before end of day."
ham,"Can you help me with the invoice and approve the document after lunch?"
ham,"Can you help me with the meeting agenda and confirm attendance after lunch?"
ham,"Thanks for the update on the budget request. Let's check the attachment later."
ham,"Reminder: the training schedule is scheduled for tomorrow. Please check the attachment."
ham,"Please review the client feedback and join the call when you have time."
ham,"Can you help me with the team presentation and join the call after lunch?"
ham,"The invoice looks good. Please confirm attendance before end of day."
ham,"Can you help me with the budget request and check the attachment after lunch?"
ham,"Thanks for the update on the meeting agenda. Let's join the call later."
ham,"Thanks for the update on the meeting agenda. Let's approve the document later."
ham,"Reminder: the training schedule is scheduled for tomorrow. Please join the call."
ham,"Reminder: the training schedule is scheduled for tomorrow. Please approve the document."
ham,"Hi, can we share your notes about the team presentation tomorrow?"
ham,"Thanks for the update on the deployment checklist. Let's share your notes later."
ham,"Hi, can we approve the document about the training schedule tomorrow?"
ham,"Please review the project report and send feedback when you have time."
ham,"Please review the team presentation and join the call when you have time."
ham,"Hi, can we approve the document about the invoice tomorrow?"
ham,"Reminder: the team presentation is scheduled for tomorrow. Please send feedback."
ham,"Please review the client feedback and approve the document when you have time."
ham,"The meeting agenda looks good. Please share your notes before end of day."
ham,"Hi, can we share your notes about the team presentation tomorrow?"
ham,"The team presentation looks good. Please join the call before end of day."
ham,"Hi, can we check the attachment about the client feedback tomorrow?"
ham,"Please review the training schedule and confirm attendance when you have time."
ham,"Please review the team presentation and send feedback when you have time."
ham,"The training schedule looks good. Please approve the document before end of day."
ham,"Please review the deployment checklist and confirm attendance when you have time."
ham,"The invoice looks good. Please approve the document before end of day."
ham,"The training schedule looks good. Please confirm attendance before end of day."
ham,"Can you help me with the team presentation and share your notes after lunch?"
ham,"Hi, can we check the attachment about the budget request tomorrow?"
ham,"Thanks for the update on the training schedule. Let's share your notes later."
ham,"Thanks for the update on the team presentation. Let's send feedback later."
ham,"Can you help me with the training schedule and send feedback after lunch?"
ham,"The project report looks good. Please join the call before end of day."
ham,"Thanks for the update on the deployment checklist. Let's share your notes later."
ham,"Reminder: the invoice is scheduled for tomorrow. Please share your notes."
ham,"Can you help me with the invoice and join the call after lunch?"
ham,"Reminder: the client feedback is scheduled for tomorrow. Please share your notes."
ham,"The meeting agenda looks good. Please join the call before end of day."
ham,"Reminder: the invoice is scheduled for tomorrow. Please share your notes."
ham,"Please review the project report and join the call when you have time."
ham,"Thanks for the update on the meeting agenda. Let's confirm attendance later."
ham,"Reminder: the budget request is scheduled for tomorrow. Please send feedback."
ham,"Reminder: the meeting agenda is scheduled for tomorrow. Please check the attachment."
ham,"Thanks for the update on the deployment checklist. Let's send feedback later."
ham,"The meeting agenda looks good. Please share your notes before end of day."
ham,"Reminder: the budget request is scheduled for tomorrow. Please join the call."
ham,"Thanks for the update on the training schedule. Let's share your notes later."
ham,"Thanks for the update on the project report. Let's approve the document later."
ham,"Please review the budget request and check the attachment when you have time."
ham,"Please review the meeting agenda and confirm attendance when you have time."
ham,"The invoice looks good. Please join the call before end of day."
ham,"Thanks for the update on the deployment checklist. Let's share your notes later."
ham,"Hi, can we approve the document about the training schedule tomorrow?"
ham,"Hi, can we confirm attendance about the project report tomorrow?"
ham,"Please review the budget request and join the call when you have time."
ham,"The meeting agenda looks good. Please confirm attendance before end of day."
ham,"Hi, can we send feedback about the training schedule tomorrow?"
ham,"Hi, can we share your notes about the team presentation tomorrow?"
ham,"The invoice looks good. Please share your notes before end of day."
ham,"Can you help me with the training schedule and send feedback after lunch?"
ham,"Please review the meeting agenda and approve the document when you have time."
ham,"Please review the project report and confirm attendance when you have time."
ham,"The deployment checklist looks good. Please check the attachment before end of day."
ham,"Please review the training schedule and share your notes when you have time."
ham,"Please review the deployment checklist and approve the document when you have time."
ham,"The client feedback looks good. Please send feedback before end of day."
ham,"Can you help me with the team presentation and approve the document after lunch?"
ham,"Please review the project report and send feedback when you have time."
ham,"Can you help me with the deployment checklist and join the call after lunch?"
ham,"The training schedule looks good. Please share your notes before end of day."
ham,"Thanks for the update on the invoice. Let's approve the document later."
ham,"Reminder: the meeting agenda is scheduled for tomorrow. Please confirm attendance."
ham,"Reminder: the meeting agenda is scheduled for tomorrow. Please approve the document."
ham,"Thanks for the update on the training schedule. Let's share your notes later."
ham,"Thanks for the update on the deployment checklist. Let's check the attachment later."
ham,"Reminder: the client feedback is scheduled for tomorrow. Please confirm attendance."
ham,"Please review the budget request and join the call when you have time."
ham,"The invoice looks good. Please send feedback before end of day."
ham,"Reminder: the training schedule is scheduled for tomorrow. Please check the attachment."
ham,"Reminder: the meeting agenda is scheduled for tomorrow. Please join the call."
ham,"Reminder: the client feedback is scheduled for tomorrow. Please check the attachment."
ham,"Hi, can we share your notes about the invoice tomorrow?"
ham,"The budget request looks good. Please confirm attendance before end of day."
ham,"The parcel was delivered to reception this afternoon."
ham,"Please reset your password using the internal portal."
ham,"Movie night is still on for Friday if you are free."
ham,"Salary adjustments will be discussed during next week's HR meeting."